shipment_id,date,direction,carrier,origin,destination,lane_id,sku_category,weight_kg,quantity,promised_lead_days,actual_lead_days,delay_days,is_delayed,freight_cost_usd,invoiced_cost_usd,cost_variance_usd,damage_flag
SHP-01775,2023-01-12,inbound,RelayEx,"New York, NY","Columbus, OH",NY-OH,Apparel,164.2,58,10,11,1.3,1,7.02,7.41,0.39,0
SHP-00212,2023-01-12,outbound,NorthStar,"Los Angeles, CA","Louisville, KY",CA-KY,Office Supplies,59.2,51,7,7,-0.1,0,5.79,6.14,0.35,0
SHP-00715,2023-01-13,inbound,RelayEx,"Phoenix, AZ","Kansas City, MO",AZ-MO,Office Supplies,79.2,8,5,6,0.6,1,3.97,3.93,-0.04,0
SHP-01375,2023-01-13,outbound,CargoLink,"New York, NY","Charlotte, NC",NY-NC,Food & Beverage,268.9,23,5,5,0.1,1,7.86,8.06,0.2,0
SHP-01756,2023-01-13,outbound,SwiftLog,"Seattle, WA","Nashville, TN",WA-TN,Pharmaceuticals,43.9,24,14,15,0.6,1,4.54,4.7,0.16,0
SHP-00314,2023-01-13,inbound,SwiftLog,"Seattle, WA","Indianapolis, IN",WA-IN,Automotive,103.9,69,2,4,2.0,1,7.35,7.04,-0.31,0
SHP-01277,2023-01-13,inbound,FastFreight,"Memphis, TN","Salt Lake City, UT",TN-UT,Food & Beverage,218.9,76,7,7,-0.0,0,8.68,8.72,0.04,0
SHP-00298,2023-01-13,outbound,CargoLink,"Los Angeles, CA","Baltimore, MD",CA-MD,Pharmaceuticals,34.0,80,7,10,3.3,1,6.67,6.96,0.29,0
SHP-00819,2023-01-14,outbound,RelayEx,"Denver, CO","Nashville, TN",CO-TN,Pharmaceuticals,57.3,14,3,4,0.9,1,4.17,4.1,-0.07,0
SHP-02358,2023-01-14,outbound,SwiftLog,"Los Angeles, CA","Portland, OR",CA-OR,Electronics,113.1,6,3,2,-0.9,0,4.44,4.87,0.43,0
SHP-01089,2023-01-14,outbound,CargoLink,"Phoenix, AZ","Indianapolis, IN",AZ-IN,Electronics,105.0,10,3,2,-0.9,0,4.99,5.1,0.11,0
SHP-02505,2023-01-15,outbound,RelayEx,"Dallas, TX","San Antonio, TX",TX-TX,Pharmaceuticals,151.6,105,2,3,0.6,1,9.27,9.44,0.17,0
SHP-02670,2023-01-15,outbound,RelayEx,"Dallas, TX","Minneapolis, MN",TX-MN,Consumer Goods,45.2,23,5,6,1.1,1,4.75,5.11,0.36,0
SHP-00375,2023-01-15,outbound,DirectMove,"Houston, TX","Portland, OR",TX-OR,Consumer Goods,26.9,15,2,2,-0.3,0,3.68,4.12,0.44,0
SHP-01972,2023-01-15,outbound,NorthStar,"Atlanta, GA","Louisville, KY",GA-KY,Office Supplies,216.3,60,2,5,3.3,1,8.66,8.9,0.24,0
SHP-01741,2023-01-16,inbound,RelayEx,"Phoenix, AZ","Salt Lake City, UT",AZ-UT,Pharmaceuticals,118.7,80,7,9,2.3,1,7.82,8.08,0.26,0
SHP-01218,2023-01-16,outbound,PrimeHaul,"Detroit, MI","Baltimore, MD",MI-MD,Electronics,187.4,95,3,4,1.3,1,9.81,9.87,0.06,0
SHP-00776,2023-01-16,outbound,NorthStar,"Chicago, IL","Portland, OR",IL-OR,Industrial Parts,57.6,33,3,5,2.5,1,5.45,5.45,0.0,0
SHP-00848,2023-01-16,outbound,RelayEx,"Phoenix, AZ","Louisville, KY",AZ-KY,Office Supplies,363.8,85,3,3,0.1,1,10.44,11.29,0.85,0
SHP-02988,2023-01-16,inbound,DirectMove,"Chicago, IL","Nashville, TN",IL-TN,Automotive,89.1,62,5,2,-3.3,0,6.64,7.5,0.86,0
SHP-01237,2023-01-16,inbound,FastFreight,"Denver, CO","Salt Lake City, UT",CO-UT,Office Supplies,168.6,42,3,2,-0.7,0,6.85,6.75,-0.1,0
SHP-02720,2023-01-17,inbound,FastFreight,"Phoenix, AZ","Portland, OR",AZ-OR,Apparel,113.4,127,2,1,-0.6,0,10.5,10.41,-0.09,0
SHP-01334,2023-01-17,outbound,RelayEx,"New York, NY","Indianapolis, IN",NY-IN,Consumer Goods,51.4,49,10,10,-0.2,0,5.95,6.38,0.43,0
SHP-00098,2023-01-17,outbound,FastFreight,"Miami, FL","Charlotte, NC",FL-NC,Electronics,56.3,249,5,3,-1.7,0,14.54,15.05,0.51,0
SHP-00790,2023-01-17,outbound,RelayEx,"Memphis, TN","Portland, OR",TN-OR,Consumer Goods,71.4,15,7,9,1.7,1,4.81,5.55,0.74,0
SHP-01877,2023-01-17,outbound,FastFreight,"Chicago, IL","Portland, OR",IL-OR,Consumer Goods,48.9,46,5,4,-0.8,0,5.32,5.15,-0.17,0
SHP-02701,2023-01-17,inbound,CargoLink,"Memphis, TN","Salt Lake City, UT",TN-UT,Pharmaceuticals,173.0,25,10,10,0.2,1,6.72,7.14,0.42,0
SHP-01002,2023-01-17,outbound,SwiftLog,"Chicago, IL","Salt Lake City, UT",IL-UT,Electronics,65.3,107,3,3,-0.1,0,8.16,8.17,0.01,0
SHP-00929,2023-01-18,outbound,PrimeHaul,"Miami, FL","San Antonio, TX",FL-TX,Office Supplies,384.2,48,7,6,-0.8,0,9.69,9.78,0.09,0
SHP-01745,2023-01-18,inbound,SwiftLog,"Miami, FL","Salt Lake City, UT",FL-UT,Industrial Parts,38.2,57,3,2,-0.8,0,5.82,6.31,0.49,0
SHP-00416,2023-01-18,inbound,FastFreight,"Atlanta, GA","Tampa, FL",GA-FL,Office Supplies,69.6,28,7,7,0.2,1,5.0,4.89,-0.11,0
SHP-00639,2023-01-18,inbound,PrimeHaul,"Miami, FL","Minneapolis, MN",FL-MN,Automotive,27.5,31,5,6,0.7,1,4.54,4.74,0.2,0
SHP-01738,2023-01-18,inbound,FastFreight,"Chicago, IL","Louisville, KY",IL-KY,Consumer Goods,43.5,187,7,7,0.4,1,13.14,12.98,-0.16,0
SHP-02263,2023-01-18,outbound,NorthStar,"Atlanta, GA","Portland, OR",GA-OR,Pharmaceuticals,131.9,13,14,16,2.5,1,4.68,4.9,0.22,0
SHP-01238,2023-01-18,inbound,PrimeHaul,"New York, NY","Charlotte, NC",NY-NC,Apparel,311.7,9,5,6,1.1,1,7.23,6.78,-0.45,0
SHP-01189,2023-01-18,outbound,DirectMove,"Chicago, IL","Indianapolis, IN",IL-IN,Automotive,87.6,28,10,14,3.7,1,5.39,6.0,0.61,0
SHP-02476,2023-01-18,outbound,CargoLink,"Denver, CO","Portland, OR",CO-OR,Pharmaceuticals,209.9,26,10,10,0.2,1,6.62,7.36,0.74,0
SHP-01297,2023-01-18,inbound,FastFreight,"Detroit, MI","San Antonio, TX",MI-TX,Food & Beverage,58.0,15,7,7,0.5,1,4.32,4.32,0.0,0
SHP-02088,2023-01-18,inbound,PrimeHaul,"Phoenix, AZ","Kansas City, MO",AZ-MO,Automotive,359.4,81,2,4,1.5,1,10.41,10.4,-0.01,0
SHP-02862,2023-01-19,inbound,DirectMove,"Seattle, WA","Portland, OR",WA-OR,Automotive,105.5,25,3,8,5.0,1,5.61,6.18,0.57,0
SHP-01377,2023-01-19,outbound,SwiftLog,"Detroit, MI","Indianapolis, IN",MI-IN,Electronics,121.5,209,5,7,1.6,1,14.46,15.19,0.73,0
SHP-01119,2023-01-19,outbound,NorthStar,"Phoenix, AZ","Tampa, FL",AZ-FL,Office Supplies,468.0,152,14,13,-1.2,0,15.06,14.98,-0.08,0
SHP-00432,2023-01-19,outbound,DirectMove,"Denver, CO","Tampa, FL",CO-FL,Pharmaceuticals,130.0,38,3,5,2.2,1,5.86,6.64,0.78,0
SHP-02990,2023-01-19,inbound,RelayEx,"New York, NY","Indianapolis, IN",NY-IN,Office Supplies,46.5,40,3,4,0.6,1,5.58,5.68,0.1,0
SHP-00116,2023-01-20,inbound,FastFreight,"Seattle, WA","Indianapolis, IN",WA-IN,Consumer Goods,104.9,19,7,7,-0.3,0,5.2,4.59,-0.61,0
SHP-02356,2023-01-20,outbound,RelayEx,"Miami, FL","Tampa, FL",FL-FL,Electronics,14.9,66,5,4,-1.0,0,6.11,6.28,0.17,0
SHP-01788,2023-01-20,inbound,RelayEx,"New York, NY","Louisville, KY",NY-KY,Food & Beverage,76.0,8,14,13,-1.4,0,4.22,4.51,0.29,0
SHP-00023,2023-01-20,outbound,NorthStar,"Memphis, TN","Indianapolis, IN",TN-IN,Automotive,95.1,30,5,4,-1.2,0,5.07,5.62,0.55,0
SHP-02436,2023-01-21,inbound,CargoLink,"Atlanta, GA","Nashville, TN",GA-TN,Automotive,53.8,98,10,12,1.7,1,8.8,9.51,0.71,0
SHP-00112,2023-01-21,outbound,PrimeHaul,"Miami, FL","Salt Lake City, UT",FL-UT,Industrial Parts,116.6,34,5,6,0.7,1,5.83,5.8,-0.03,0
SHP-01227,2023-01-21,inbound,CargoLink,"New York, NY","Salt Lake City, UT",NY-UT,Automotive,26.0,173,5,7,1.9,1,10.83,11.51,0.68,0
SHP-00457,2023-01-21,inbound,NorthStar,"Los Angeles, CA","Baltimore, MD",CA-MD,Industrial Parts,132.9,117,5,7,2.0,1,11.23,11.51,0.28,0
SHP-02802,2023-01-22,inbound,RelayEx,"Denver, CO","Tampa, FL",CO-FL,Apparel,228.5,15,7,7,-0.3,0,6.3,6.37,0.07,0
SHP-01482,2023-01-22,outbound,DirectMove,"Atlanta, GA","Salt Lake City, UT",GA-UT,Pharmaceuticals,29.5,55,7,10,3.2,1,6.49,7.24,0.75,0
SHP-02575,2023-01-22,inbound,SwiftLog,"Phoenix, AZ","Indianapolis, IN",AZ-IN,Office Supplies,127.4,62,3,4,1.4,1,7.81,7.81,0.0,0
SHP-00994,2023-01-22,inbound,RelayEx,"Los Angeles, CA","Salt Lake City, UT",CA-UT,Electronics,69.8,21,7,7,-0.2,0,5.02,5.22,0.2,0
SHP-00355,2023-01-22,inbound,DirectMove,"New York, NY","San Antonio, TX",NY-TX,Electronics,70.6,43,3,5,2.3,1,5.7,6.41,0.71,1
SHP-02091,2023-01-22,inbound,PrimeHaul,"Seattle, WA","Louisville, KY",WA-KY,Apparel,244.8,32,5,4,-0.7,0,7.22,7.43,0.21,0
SHP-01952,2023-01-23,outbound,CargoLink,"Denver, CO","Nashville, TN",CO-TN,Industrial Parts,100.5,62,5,9,4.2,1,7.57,7.86,0.29,0
SHP-00864,2023-01-23,outbound,PrimeHaul,"Seattle, WA","Kansas City, MO",WA-MO,Food & Beverage,382.3,195,7,6,-0.8,0,18.37,18.57,0.2,0
SHP-00854,2023-01-23,inbound,PrimeHaul,"New York, NY","Indianapolis, IN",NY-IN,Automotive,509.7,16,3,4,1.1,1,9.37,9.63,0.26,0
SHP-02982,2023-01-23,inbound,CargoLink,"New York, NY","Kansas City, MO",NY-MO,Electronics,26.2,99,5,7,1.8,1,8.16,8.45,0.29,0
SHP-00625,2023-01-23,outbound,RelayEx,"Seattle, WA","Baltimore, MD",WA-MD,Consumer Goods,80.9,30,3,4,1.2,1,4.87,5.27,0.4,0
SHP-00195,2023-01-23,inbound,RelayEx,"Detroit, MI","Minneapolis, MN",MI-MN,Consumer Goods,205.6,123,5,5,0.5,1,10.6,10.4,-0.2,0
SHP-00061,2023-01-23,inbound,FastFreight,"Denver, CO","Columbus, OH",CO-OH,Electronics,155.9,5,2,2,0.3,1,4.85,4.46,-0.39,0
SHP-01011,2023-01-24,inbound,PrimeHaul,"Chicago, IL","Columbus, OH",IL-OH,Automotive,266.7,39,3,4,1.2,1,8.51,8.22,-0.29,0
SHP-02013,2023-01-24,outbound,FastFreight,"Atlanta, GA","Nashville, TN",GA-TN,Pharmaceuticals,23.9,290,7,7,0.5,1,17.35,16.77,-0.58,0
SHP-01434,2023-01-24,outbound,CargoLink,"Atlanta, GA","Columbus, OH",GA-OH,Automotive,71.1,24,5,6,0.6,1,4.43,4.75,0.32,0
SHP-01156,2023-01-24,inbound,PrimeHaul,"Miami, FL","San Antonio, TX",FL-TX,Industrial Parts,331.5,34,3,4,0.6,1,9.25,9.2,-0.05,0
SHP-02683,2023-01-24,outbound,PrimeHaul,"Detroit, MI","Kansas City, MO",MI-MO,Food & Beverage,714.8,213,2,2,-0.5,0,21.35,21.22,-0.13,0
SHP-01652,2023-01-24,outbound,RelayEx,"Atlanta, GA","Minneapolis, MN",GA-MN,Automotive,74.2,98,5,8,3.2,1,9.35,9.84,0.49,0
SHP-02693,2023-01-24,inbound,SwiftLog,"Miami, FL","Nashville, TN",FL-TN,Apparel,126.3,9,3,3,0.5,1,4.49,4.65,0.16,0
SHP-00772,2023-01-25,outbound,PrimeHaul,"Dallas, TX","Tampa, FL",TX-FL,Office Supplies,242.2,35,7,8,0.8,1,7.14,6.95,-0.19,0
SHP-00698,2023-01-25,outbound,CargoLink,"Houston, TX","Columbus, OH",TX-OH,Food & Beverage,106.5,166,3,5,2.5,1,12.59,13.18,0.59,0
SHP-01789,2023-01-25,outbound,DirectMove,"Dallas, TX","Columbus, OH",TX-OH,Pharmaceuticals,127.5,39,5,2,-3.2,0,6.4,7.27,0.87,0
SHP-01910,2023-01-26,inbound,SwiftLog,"Chicago, IL","Louisville, KY",IL-KY,Apparel,290.1,72,3,4,1.3,1,9.72,10.52,0.8,0
SHP-01353,2023-01-26,outbound,RelayEx,"Atlanta, GA","Baltimore, MD",GA-MD,Industrial Parts,134.9,50,3,4,1.1,1,7.13,7.37,0.24,0
SHP-02015,2023-01-26,outbound,SwiftLog,"New York, NY","San Antonio, TX",NY-TX,Automotive,69.5,32,7,10,2.6,1,4.94,5.34,0.4,0
SHP-00946,2023-01-26,outbound,DirectMove,"Miami, FL","San Antonio, TX",FL-TX,Automotive,20.2,32,5,8,2.7,1,4.84,5.63,0.79,0
SHP-02311,2023-01-26,inbound,FastFreight,"Los Angeles, CA","Nashville, TN",CA-TN,Food & Beverage,377.5,70,7,7,-0.1,0,10.5,9.51,-0.99,0
SHP-00645,2023-01-26,outbound,FastFreight,"Phoenix, AZ","Tampa, FL",AZ-FL,Food & Beverage,61.5,13,3,2,-1.2,0,4.19,4.05,-0.14,0
SHP-02663,2023-01-27,inbound,SwiftLog,"Phoenix, AZ","Indianapolis, IN",AZ-IN,Consumer Goods,35.2,198,10,12,2.4,1,14.38,16.01,1.63,0
SHP-01055,2023-01-27,outbound,FastFreight,"Chicago, IL","San Antonio, TX",IL-TX,Industrial Parts,84.6,73,5,5,0.1,1,7.03,7.45,0.42,0
SHP-00705,2023-01-27,outbound,NorthStar,"Dallas, TX","Columbus, OH",TX-OH,Industrial Parts,90.8,13,7,8,1.1,1,4.34,4.55,0.21,0
SHP-02175,2023-01-27,inbound,FastFreight,"New York, NY","Nashville, TN",NY-TN,Pharmaceuticals,30.8,34,10,10,0.3,1,4.99,4.79,-0.2,0
SHP-00441,2023-01-27,outbound,PrimeHaul,"Seattle, WA","Columbus, OH",WA-OH,Pharmaceuticals,70.3,10,10,9,-0.9,0,3.84,4.12,0.28,0
SHP-01185,2023-01-27,outbound,DirectMove,"Memphis, TN","Nashville, TN",TN-TN,Industrial Parts,76.5,38,7,7,0.4,1,5.1,5.87,0.77,0
SHP-02390,2023-01-28,inbound,CargoLink,"Miami, FL","San Antonio, TX",FL-TX,Industrial Parts,267.2,15,7,12,4.7,1,6.37,6.57,0.2,0
SHP-00844,2023-01-28,inbound,NorthStar,"Seattle, WA","Baltimore, MD",WA-MD,Office Supplies,46.1,12,2,2,-0.5,0,3.79,4.29,0.5,0
SHP-00832,2023-01-28,inbound,SwiftLog,"New York, NY","Indianapolis, IN",NY-IN,Electronics,81.1,16,7,7,0.5,1,4.59,4.99,0.4,0
SHP-00166,2023-01-28,outbound,FastFreight,"Seattle, WA","Charlotte, NC",WA-NC,Electronics,46.4,48,5,4,-1.3,0,6.27,6.13,-0.14,0
SHP-02021,2023-01-28,outbound,PrimeHaul,"Los Angeles, CA","Salt Lake City, UT",CA-UT,Pharmaceuticals,24.6,9,10,10,0.3,1,3.29,3.23,-0.06,0
SHP-01992,2023-01-28,outbound,CargoLink,"Dallas, TX","San Antonio, TX",TX-TX,Electronics,65.0,37,10,9,-1.4,0,5.52,5.75,0.23,0
SHP-02264,2023-01-29,outbound,RelayEx,"Detroit, MI","Portland, OR",MI-OR,Consumer Goods,58.7,76,5,6,1.4,1,7.38,7.59,0.21,0
SHP-01321,2023-01-29,outbound,NorthStar,"Phoenix, AZ","San Antonio, TX",AZ-TX,Food & Beverage,192.4,116,5,6,1.3,1,10.84,11.27,0.43,0
SHP-02779,2023-01-29,inbound,SwiftLog,"Atlanta, GA","San Antonio, TX",GA-TX,Food & Beverage,40.1,32,5,6,1.1,1,4.41,4.45,0.04,0
SHP-02006,2023-01-30,outbound,CargoLink,"Denver, CO","Baltimore, MD",CO-MD,Industrial Parts,200.1,138,3,3,0.5,1,11.25,11.32,0.07,0
SHP-02750,2023-01-30,inbound,CargoLink,"New York, NY","Charlotte, NC",NY-NC,Apparel,112.0,27,2,6,3.7,1,5.43,5.92,0.49,0
SHP-02889,2023-01-30,outbound,PrimeHaul,"Atlanta, GA","Indianapolis, IN",GA-IN,Food & Beverage,43.4,17,10,11,1.3,1,3.99,4.12,0.13,0
SHP-01854,2023-01-30,outbound,NorthStar,"Seattle, WA","Portland, OR",WA-OR,Consumer Goods,112.9,58,10,11,0.9,1,7.28,7.92,0.64,0
SHP-01397,2023-01-31,outbound,RelayEx,"Denver, CO","San Antonio, TX",CO-TX,Industrial Parts,70.7,141,2,2,0.4,1,10.98,11.5,0.52,0
SHP-01087,2023-01-31,inbound,PrimeHaul,"Houston, TX","Baltimore, MD",TX-MD,Pharmaceuticals,115.0,45,5,6,0.9,1,5.96,6.04,0.08,0
SHP-01043,2023-01-31,outbound,PrimeHaul,"Miami, FL","Louisville, KY",FL-KY,Electronics,21.8,79,3,4,1.3,1,6.55,6.23,-0.32,0
SHP-02236,2023-01-31,inbound,DirectMove,"New York, NY","Charlotte, NC",NY-NC,Food & Beverage,34.1,32,7,8,1.1,1,4.39,4.74,0.35,0
SHP-01040,2023-02-01,outbound,PrimeHaul,"Memphis, TN","Tampa, FL",TN-FL,Food & Beverage,382.3,73,3,3,-0.4,0,10.8,10.73,-0.07,0
SHP-01779,2023-02-01,outbound,DirectMove,"Chicago, IL","Salt Lake City, UT",IL-UT,Pharmaceuticals,41.8,10,3,9,5.7,1,3.76,4.46,0.7,0
SHP-02370,2023-02-01,inbound,CargoLink,"Dallas, TX","Tampa, FL",TX-FL,Industrial Parts,192.0,15,3,4,0.6,1,5.93,6.12,0.19,0
SHP-02057,2023-02-01,outbound,DirectMove,"Los Angeles, CA","Columbus, OH",CA-OH,Office Supplies,190.7,53,5,8,2.7,1,7.08,7.99,0.91,0
SHP-02193,2023-02-02,inbound,PrimeHaul,"Atlanta, GA","Louisville, KY",GA-KY,Electronics,84.0,27,7,8,0.7,1,4.79,4.82,0.03,0
SHP-02155,2023-02-02,outbound,SwiftLog,"Dallas, TX","Kansas City, MO",TX-MO,Automotive,19.5,26,2,2,-0.3,0,4.21,4.56,0.35,0
SHP-00981,2023-02-02,inbound,CargoLink,"Phoenix, AZ","Tampa, FL",AZ-FL,Automotive,404.0,14,5,7,2.5,1,8.97,9.01,0.04,0
